IP address,Protocol version,User agent,Connected since,Services,Height,Hostname,City,Country code,Latitude,Longitude,Timezone,ASN,Organization name,Coordinates
"owrtiy7uxbimegda44kuh7zvhwjxflkmeogie4ntrorekzsnszba55qd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-29T00:56:54.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"gmr3yuvq74be2yiu4pm6aqoik43ifrezmpqjjmgh4knj6oqu7vsfrjid.onion:8333",70016,"/Satoshi:23.0.0/Knots:20220529/","2022-10-29T02:44:32.000Z",67109965,760762,,,,,,,"TOR","Tor network","0, 0"
"188.155.82.126:8333",70016,"/Satoshi:23.0.0/","2022-10-13T02:03:26.000Z",1033,760762,"xdsl-188-155-82-126.adslplus.ch","Prilly","CH",46.5358,6.602,"Europe/Zurich","AS6730","Sunrise GmbH","46.5358, 6.602"
"t4qkds6aok6bizvg3arl5yoea5ih3u742y44swdlbozaqy36xhes4byd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-29T00:06:41.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"fgaj5ec56r4zxu4w5xqeupz7jjcxv326v2kfgttepotcofokzexze2qd.onion:8333",70016,"/Satoshi:22.0.0/","2022-10-29T01:29:59.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"85.214.103.48:8333",70016,"/Satoshi:22.0.0/","2022-10-27T22:32:23.000Z",1033,760762,"h2815203.stratoserver.net","Berlin","DE",52.5201,13.4425,"Europe/Berlin","AS6724","Strato AG","52.5201, 13.4425"
"xa2nopaxznzawvliwbkkmpc5ssyqndy7fyctzjg7wadscuk425xij3ad.onion:8333",70016,"/Satoshi:22.0.0(RoninDojo 1.14.1)/","2022-10-28T21:47:56.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"q6fpkneecgyiz64ouf6z72qv23si36oywuzrldrs4aypcvqtr7emmqyd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-28T10:24:30.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"46.166.142.2:8333",70016,"/Satoshi:23.0.0/","2022-09-21T21:56:09.000Z",1033,760762,".",,"NL",52.3824,4.8995,"Europe/Amsterdam","AS43350","NForce Entertainment B.V.","52.3824, 4.8995"
"tnq6gnhhdvqh4jeh5s262ze24iojmghcl66t53lg4rui2u5hbce7umyd.onion:8333",70016,"/Satoshi:22.0.0/","2022-10-29T03:09:31.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"84.107.108.25:8333",70016,"/Satoshi:23.0.0/","2022-09-24T16:21:20.000Z",1033,760762,"84-107-108-25.cable.dynamic.v4.ziggo.nl","Hoorn","NL",52.6531,5.0939,"Europe/Amsterdam","AS33915","Vodafone Libertel B.V.","52.6531, 5.0939"
"kblhshmsz4z7pfbse3djlhc2htdelei4hlejwxqqe6trxeymljrlxbad.onion:8333",70016,"/Satoshi:22.0.0/","2022-10-28T10:48:35.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"51.89.153.76:8333",70016,"/Satoshi:0.21.0/","2022-10-27T14:55:03.000Z",1033,760762,"ns3145215.ip-51-89-153.eu","London","GB",51.5164,-0.093,"Europe/London","AS16276","OVH SAS","51.5164, -0.093"
"[2602:ffb6:4:2798:f816:3eff:fe2f:5441]:8333",70016,"/Satoshi:0.21.0/","2022-10-26T15:46:48.000Z",1033,760762,"2602:ffb6:4:2798:f816:3eff:fe2f:5441",,"CA",43.6319,-79.3716,"America/Toronto","AS174","COGENT-174","43.6319, -79.3716"
"206.189.63.80:8333",70015,"/Satoshi:0.20.1/","2022-10-29T03:09:22.000Z",1037,760762,"206.189.63.80","Frankfurt am Main","DE",50.1188,8.6843,"Europe/Berlin","AS14061","DIGITALOCEAN-ASN","50.1188, 8.6843"
"68.206.159.58:8333",70015,"/Satoshi:0.18.0/","2022-10-28T10:09:05.000Z",1037,760762,"cpe-68-206-159-58.elp.res.rr.com","Del Rio","US",29.4102,-100.8932,"America/Chicago","AS11427","TWC-11427-TEXAS","29.4102, -100.8932"
"2rwgmklk4ekwv644vwq3z5fgs3tfug5hf2r2z73tcbqwo7inqycfw7id.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-29T01:05:00.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"6mcl2l5hdpvl35ryi5cdnxioilahzmecmnevsowo4dotf67a7ny4ztqd.onion:8333",70016,"/Satoshi:22.0.0/Knots:20211108/","2022-10-29T01:55:16.000Z",1101,760762,,,,,,,"TOR","Tor network","0, 0"
"15.236.224.135:8333",70016,"/Satoshi:0.21.1/","2022-10-29T03:09:22.000Z",1037,760762,"ec2-15-236-224-135.eu-west-3.compute.amazonaws.com","Paris","FR",48.8323,2.4075,"Europe/Paris","AS16509","AMAZON-02","48.8323, 2.4075"
"wjqmy2kpddynt64lpvbctn4ztgxdppuaqdzltmvath3tpzrx43ocwxid.onion:8333",70016,"/Satoshi:0.21.0/","2022-10-29T00:23:20.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"94.130.71.31:8333",70016,"/Satoshi:22.0.0/","2022-10-28T16:39:42.000Z",1033,760762,"static.31.71.130.94.clients.your-server.de",,"DE",51.2993,9.491,"Europe/Berlin","AS24940","Hetzner Online GmbH","51.2993, 9.491"
"70.121.82.33:8333",70016,"/Satoshi:22.0.0/","2022-10-29T02:28:00.000Z",1032,760762,"cpe-70-121-82-33.austin.res.rr.com","Cedar Park","US",30.5045,-97.8209,"America/Chicago","AS11427","TWC-11427-TEXAS","30.5045, -97.8209"
"xbbh6ka5dsqa674adgpbzsmoydeqmw6rqwb5fsmltmemmmifmzx5yryd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-29T00:40:12.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"94.130.64.182:9001",70016,"/Satoshi:23.0.0/","2022-09-21T21:56:10.000Z",1033,760762,"amber.coinomi.net",,"DE",51.2993,9.491,"Europe/Berlin","AS24940","Hetzner Online GmbH","51.2993, 9.491"
"leeroys65j2zj5zolvl6fb72tu3pytd2eenxtyc46zl563gqtxgj2iqd.onion:8333",70016,"/Satoshi:0.21.1/","2022-10-28T10:40:35.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"142.188.210.102:8333",70016,"/Satoshi:23.0.0/","2022-10-17T21:16:22.000Z",1032,760762,"142.188.210.102","Aurora","CA",43.9982,-79.4625,"America/Toronto","AS577","BACOM","43.9982, -79.4625"
"148.251.7.75:8333",70016,"/Satoshi:23.0.0/","2022-09-21T21:56:10.000Z",1033,760762,"static.75.7.251.148.clients.your-server.de",,"DE",51.2993,9.491,"Europe/Berlin","AS24940","Hetzner Online GmbH","51.2993, 9.491"
"147.135.252.43:8333",70015,"/Satoshi:0.14.2(bitcore-sl)/UASF-Segwit:1.0(!BIP148)/","2022-10-29T01:04:56.000Z",13,760762,"ns3081074.ip-147-135-252.eu","Brassac-les-Mines","FR",45.4118,3.3326,"Europe/Paris","AS16276","OVH SAS","45.4118, 3.3326"
"103.123.108.149:8333",70016,"/Satoshi:22.0.0/","2022-10-28T22:02:58.000Z",1032,760762,"ns2.unima.ac.id",,"ID",-6.1728,106.8272,"Asia/Jakarta","AS138066","Universitas Negeri Manado","-6.1728, 106.8272"
"[2804:954:24:612:a5f6:414d:998f:ac36]:8333",70016,"/Satoshi:22.0.0/","2022-10-28T23:41:35.000Z",1033,760762,"2804:954:24:612:a5f6:414d:998f:ac36","Escada","BR",-8.3497,-35.2727,"America/Recife","AS263073","DTEL TELECOM","-8.3497, -35.2727"
"185.180.221.200:8333",70016,"/Satoshi:0.21.0/","2022-10-28T07:50:11.000Z",1033,760762,"customer.worldstream.nl","Naaldwijk","NL",51.9934,4.2158,"Europe/Amsterdam","AS49981","WorldStream B.V.","51.9934, 4.2158"
"65.108.10.141:8333",70016,"/Satoshi:22.0.0/","2022-10-28T19:30:38.000Z",1097,760762,"static.141.10.108.65.clients.your-server.de","Helsinki","FI",60.1792,24.9337,"Europe/Helsinki","AS24940","Hetzner Online GmbH","60.1792, 24.9337"
"135.181.109.218:8333",70015,"/Satoshi:0.20.1/","2022-10-29T03:09:22.000Z",1037,760762,"static.218.109.181.135.clients.your-server.de","Helsinki","FI",60.1719,24.9347,"Europe/Helsinki","AS24940","Hetzner Online GmbH","60.1719, 24.9347"
"ifdu5qvbofrt4ekui2iyb3kbcyzcsglazhx2hn4wfskkrx2v24qxriid.onion:8333",70016,"/Satoshi:0.21.1/","2022-10-29T01:38:27.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"5.188.62.18:8333",70015,"/Satoshi:0.20.1/","2022-09-30T09:38:57.000Z",1033,760762,"5.188.62.18",,"RU",55.7386,37.6068,"Europe/Moscow","AS34665","Petersburg Internet Network ltd.","55.7386, 37.6068"
"jwzt7jndmzl34bsb2yaruug5yfnq37irm6dqmcdh5xyuzqyojxut32ad.onion:8333",70016,"/Satoshi:0.21.1/","2022-10-29T00:15:07.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"154.12.243.171:8333",70016,"/Satoshi:22.0.0/","2022-10-28T11:26:12.000Z",1032,760762,"vmi867158.contaboserver.net","Seattle","US",47.6034,-122.3414,"America/Los_Angeles","AS40021","CONTABO","47.6034, -122.3414"
"13.212.115.208:8333",70016,"/Satoshi:0.21.1/","2022-10-27T15:32:15.000Z",1033,760762,"ec2-13-212-115-208.ap-southeast-1.compute.amazonaws.com","Singapore","SG",1.3036,103.8554,"Asia/Singapore","AS16509","AMAZON-02","1.3036, 103.8554"
"d7eaq3uzsv2ke4j6fdv42pwm35paijplfr6zjq6n4avmuhwydevjqvyd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-29T00:56:47.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"lur3sby4fycmxyuebczkzwqomtakyrjja63ul3jxhkqffcdqylee6did.onion:8333",70016,"/Satoshi:22.0.0/","2022-10-29T02:53:00.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"46.10.115.237:8333",70016,"/Satoshi:23.0.0/","2022-10-23T15:06:48.000Z",1032,760762,"46-10-115-237.ip.btc-net.bg","Varna","BG",43.2186,27.9123,"Europe/Sofia","AS8866","Vivacom Bulgaria EAD","43.2186, 27.9123"
"37vmdz5xj4x7ruhqh7ytqmqdcqjz7m4nlshbvu5ifi7cjvlsm7iykyqd.onion:8333",70016,"/Satoshi:22.0.0/","2022-10-28T20:26:48.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"beuf5dj3yaib73xh7llpbnqt4rrfl54yqakb2y3lh2ib4d5b4ik5xdid.onion:8333",70016,"/Satoshi:22.0.0(RoninDojo 1.14.1)/","2022-10-28T19:47:16.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"yuuesfutwf2kp4wqle4tzi7kqjuts75nlqqhi6vxlemw5egq3zlksxid.onion:8333",70016,"/Satoshi:0.21.0/","2022-10-28T23:33:30.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"142.93.6.38:8333",70016,"/Satoshi:0.21.0/","2022-10-27T20:01:28.000Z",1037,760762,"142.93.6.38","North Bergen","US",40.793,-74.0247,"America/New_York","AS14061","DIGITALOCEAN-ASN","40.793, -74.0247"
"xbvxiakyso2aqu55p474w363n3nnp7bfhpmua2jpks6nkniyxl6xe7yd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-29T00:06:46.000Z",1097,760762,,,,,,,"TOR","Tor network","0, 0"
"188.34.144.180:8333",70015,"/Satoshi:0.20.1/","2022-10-23T04:57:33.000Z",1033,760762,"ws03.metafrase.net",,"DE",51.2993,9.491,"Europe/Berlin","AS24940","Hetzner Online GmbH","51.2993, 9.491"
"51.75.16.232:8333",70016,"/Satoshi:22.0.0/","2022-10-27T09:24:08.000Z",1032,760762,"232.ip-51-75-16.eu",,"FR",48.8582,2.3387,"Europe/Paris","AS16276","OVH SAS","48.8582, 2.3387"
"m7htrgyckf23pv2vbaxxcdx5xvxvnd6xfdo556n3gwuxresy5denppid.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-28T19:55:06.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"kieffdkdmfgqamb7udnzrizuisevfpe3cajx4p2aljvfinrh62z6pwad.onion:8333",70016,"/Satoshi:23.0.0/Knots:20220529/","2022-10-29T02:19:55.000Z",67109965,760762,,,,,,,"TOR","Tor network","0, 0"
"100.37.18.143:8333",70016,"/Satoshi:22.0.0/","2022-10-28T21:30:46.000Z",1033,760762,"pool-100-37-18-143.nycmny.fios.verizon.net","Staten Island","US",40.5468,-74.1804,"America/New_York","AS701","UUNET","40.5468, -74.1804"
"mvyoqsi6ajika4whmfnsfxhnylxqylo457ghrodnmnxetwka7mccasqd.onion:8333",70016,"/Satoshi:22.0.0/","2022-10-28T23:08:38.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"35.90.164.110:8333",70016,"/Satoshi:23.0.0/","2022-10-26T15:54:39.000Z",1033,760762,"ec2-35-90-164-110.us-west-2.compute.amazonaws.com","Boardman","US",45.8234,-119.7257,"America/Los_Angeles","AS16509","AMAZON-02","45.8234, -119.7257"
"159.203.60.33:8332",70016,"/Satoshi:23.0.0/","2022-10-19T14:23:51.000Z",1032,760762,"159.203.60.33","Toronto","CA",43.6547,-79.3623,"America/Toronto","AS14061","DIGITALOCEAN-ASN","43.6547, -79.3623"
"5yg6ffsuugwywwzwvxmmtmau3zrchy2u55eu2zeysdoejrsb6xlqo4qd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-28T13:51:45.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"zjhgzunlvgployg4lkvd5cssomocsz5l244zsmm6wvppokxiobmkfuid.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-28T05:12:16.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"185.8.104.223:8333",70016,"/Satoshi:23.0.0/","2022-10-18T19:45:30.000Z",1032,760762,"185.8.104.223",,"LT",55.4167,24,"Europe/Vilnius","AS16125","UAB Cherry Servers","55.4167, 24"
"[2a01:4f9:3b:1f86::2]:8333",70016,"/Satoshi:22.0.0/","2022-10-24T18:13:27.000Z",1032,760762,"2a01:4f9:3b:1f86::2",,"DE",51.2993,9.491,"Europe/Berlin","AS24940","Hetzner Online GmbH","51.2993, 9.491"
"tl5qsjz45daabkd5c3gfw7tjddz3iz6rvltn5nwmv4kmit4megp5rgyd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-29T00:15:25.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"157.230.233.211:8333",70015,"/Satoshi:0.20.1/","2022-10-29T03:09:21.000Z",1037,760761,"157.230.233.211","North Bergen","US",40.793,-74.0247,"America/New_York","AS14061","DIGITALOCEAN-ASN","40.793, -74.0247"
